architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
par	flickr8k	3	True	12	11	-9.796533	-1.8614829	11.290102	0
par	flickr8k	3	True	12	12	-8.973775	-1.2942337	10.124798	0
par	flickr8k	3	True	12	13	-10.363384	-2.0133634	11.483895	0
par	flickr8k	3	True	13	0	-8.160147	-1.4928595	8.560828	0
par	flickr8k	3	True	13	1	-8.222704	-0.8392902	12.813731	0
par	flickr8k	3	True	13	2	-8.969974	-1.3672949	11.61399	0
par	flickr8k	3	True	13	3	-9.395799	-1.5836531	11.901241	0
par	flickr8k	3	True	13	4	-8.585515	-1.0977807	10.965161	0
par	flickr8k	3	True	13	5	-8.954439	-1.1177306	11.052036	0
par	flickr8k	3	True	13	6	-9.506195	-1.4281286	11.241561	0
par	flickr8k	3	True	13	7	-9.365886	-1.4766489	10.460736	0
par	flickr8k	3	True	13	8	-9.437768	-1.5939221	10.612403	0
par	flickr8k	3	True	13	9	-9.277174	-1.5241418	10.61301	0
par	flickr8k	3	True	13	10	-9.477031	-1.6188067	10.703608	0
par	flickr8k	3	True	13	11	-9.980538	-1.9885046	11.95554	0
par	flickr8k	3	True	13	12	-9.333497	-1.76524	11.128851	0
par	flickr8k	3	True	13	13	-8.769114	-1.2293121	9.669857	0
par	flickr8k	3	True	13	14	-10.245368	-1.9907798	11.213136	0
par	flickr8k	3	True	14	0	-8.267821	-1.4664472	8.6927395	0
par	flickr8k	3	True	14	1	-8.296821	-0.84190875	12.788245	0
par	flickr8k	3	True	14	2	-9.052853	-1.3110133	11.747022	0
par	flickr8k	3	True	14	3	-9.295552	-1.5179042	11.46808	0
par	flickr8k	3	True	14	4	-8.838528	-1.1653929	10.840096	0
par	flickr8k	3	True	14	5	-9.098634	-1.1715157	11.064363	0
par	flickr8k	3	True	14	6	-9.777556	-1.4955475	11.48664	0
par	flickr8k	3	True	14	7	-9.729019	-1.5537208	10.385475	0
par	flickr8k	3	True	14	8	-9.525695	-1.6030315	10.968535	0
par	flickr8k	3	True	14	9	-9.591825	-1.6165459	11.087016	0
par	flickr8k	3	True	14	10	-9.179681	-1.5024409	10.61694	0
par	flickr8k	3	True	14	11	-9.528075	-1.6455202	10.881473	0
par	flickr8k	3	True	14	12	-9.540483	-1.8893996	11.487284	0
par	flickr8k	3	True	14	13	-9.260578	-1.6155092	10.662459	0
par	flickr8k	3	True	14	14	-8.870918	-1.2589833	10.012057	0
par	flickr8k	3	True	14	15	-10.166165	-1.950605	11.14222	0
par	flickr8k	4	True	5	0	-8.383116	-1.5481725	8.400852	0
par	flickr8k	4	True	5	1	-8.277672	-0.8825874	12.214007	0
par	flickr8k	4	True	5	2	-9.150515	-1.4369926	10.596352	0
par	flickr8k	4	True	5	3	-10.024421	-1.9891009	10.842342	0
par	flickr8k	4	True	5	4	-9.774066	-1.9755491	11.813736	0
par	flickr8k	4	True	5	5	-8.891706	-1.4359155	10.379797	0
par	flickr8k	4	True	5	6	-9.896202	-2.0435195	11.236533	0
par	flickr8k	4	True	6	0	-8.492186	-1.5562819	8.565431	0
par	flickr8k	4	True	6	1	-8.237188	-0.9071782	12.379312	0
par	flickr8k	4	True	6	2	-9.138833	-1.338302	11.173632	0
par	flickr8k	4	True	6	3	-9.473391	-1.4446981	10.681316	0
par	flickr8k	4	True	6	4	-10.162863	-2.069856	11.218189	0
par	flickr8k	4	True	6	5	-9.760844	-1.8626559	11.420243	0
